S.NO,NAME,RNO,EMAIL,DEPT,YEAR,SEM,CURR_SEM,MENTOR,MENTOR_EMAIL,SEM1,SEM2,SEM3,SEM4,SEM5,SEM7,SEM8,INTERNAL_MARKS,TOTAL_DAYS_CURR,ATTENDED_DAYS_CURR,PREV_ATTENDANCE_PERC,BEHAVIOR_SCORE_10
804,Karthik Malhotra,24G31B1669,karthik.malhotra134@gmail.com,CIVIL,2,2-1,3,Prof. Ritika Malhotra,prof..ritika.malhotra14@gmail.com,96,56,,,,,,13,105,71,88,4.6
805,Divya Gupta,24G31B9978,divya.gupta866@gmail.com,CSE(AI),2,2-2,4,Dr. Nitin Verma,dr..nitin.verma60@gmail.com,54,70,72,,,,,13,84,75,41,2.6
806,Rohan Verma,25G31B8446,rohan.verma261@gmail.com,CSE,3,3-2,6,Prof. Anjali Menon,prof..anjali.menon16@gmail.com,60,59,58,52,65,,,30,88,77,70,6.3
807,Vishal Rao,25G31A7398,vishal.rao378@gmail.com,CDS,3,3-1,5,Prof. Divya Srivastava,prof..divya.srivastava65@gmail.com,90,80,91,73,,,,24,107,90,65,8.0
808,Celina Malhotra,25G31B3472,celina.malhotra662@gmail.com,ECE,3,3-2,6,Prof. Kavya Pillai,prof..kavya.pillai46@gmail.com,93,62,58,77,100,,,25,82,47,48,3.7
809,Esha Dutta,25G31B1666,esha.dutta733@gmail.com,EEE,3,3-1,5,Prof. Priya Sharma,prof..priya.sharma99@gmail.com,69,65,52,79,,,,29,91,70,61,3.2
810,Varun Pillai,25G31A3317,varun.pillai367@gmail.com,MECH,3,3-2,6,Prof. Meera Desai,prof..meera.desai98@gmail.com,53,53,81,71,83,,,13,113,103,58,9.9
811,Shreya Agarwal,25G31B1594,shreya.agarwal364@gmail.com,CIVIL,3,3-2,6,Dr. Harish Rao,dr..harish.rao79@gmail.com,84,97,86,65,84,,,12,86,74,42,8.8
812,Sandeep Gupta,25G31A8387,sandeep.gupta496@gmail.com,CSE(AI),3,3-1,5,Dr. Rajesh Kumar,dr..rajesh.kumar54@gmail.com,88,58,45,80,,,,28,87,59,55,9.7
813,Kriti Agarwal,25G31B6415,kriti.agarwal326@gmail.com,CSE,3,3-2,6,Dr. Vikram Reddy,dr..vikram.reddy54@gmail.com,93,72,72,74,74,,,15,81,72,82,8.2
814,Vinod Malhotra,25G31B4067,vinod.malhotra317@gmail.com,CDS,3,3-1,5,Prof. Ritika Malhotra,prof..ritika.malhotra21@gmail.com,54,86,67,70,,,,20,111,88,80,6.0
815,Siddharth Bansal,25G31B5790,siddharth.bansal861@gmail.com,ECE,3,3-2,6,Prof. Shreya Nair,prof..shreya.nair13@gmail.com,53,75,73,58,93,,,14,90,90,78,7.2
816,Pari Reddy,25G31B9052,pari.reddy695@gmail.com,EEE,3,3-2,6,Prof. Shreya Nair,prof..shreya.nair26@gmail.com,72,74,78,86,71,,,20,117,91,91,4.1
817,Sneha Dutta,25G31A9676,sneha.dutta518@gmail.com,MECH,3,3-2,6,Prof. Priya Sharma,prof..priya.sharma87@gmail.com,77,68,43,75,69,,,17,120,119,53,7.8
818,Nitin Pillai,25G31B2681,nitin.pillai523@gmail.com,CIVIL,3,3-1,5,Prof. Priya Sharma,prof..priya.sharma34@gmail.com,64,84,84,70,,,,20,83,66,92,9.9
819,Amit Dasgupta,25G31B2492,amit.dasgupta920@gmail.com,CSE(AI),3,3-2,6,Dr. Rajesh Kumar,dr..rajesh.kumar58@gmail.com,49,69,73,94,67,,,13,94,81,68,8.7
820,Nitin Reddy,25G31A2846,nitin.reddy931@gmail.com,CSE,3,3-2,6,Prof. Kavya Pillai,prof..kavya.pillai40@gmail.com,58,84,59,80,72,,,29,90,58,43,9.6
821,Shreya Gupta,25G31B7303,shreya.gupta889@gmail.com,CDS,3,3-1,5,Prof. Divya Srivastava,prof..divya.srivastava10@gmail.com,43,62,62,77,,,,11,97,70,63,3.2
822,Rahul Sinha,25G31A4108,rahul.sinha405@gmail.com,ECE,3,3-1,5,Prof. Anjali Menon,prof..anjali.menon90@gmail.com,41,79,67,57,,,,15,101,81,45,5.7
823,Anjali Dasgupta,25G31B1618,anjali.dasgupta536@gmail.com,EEE,3,3-2,6,Prof. Isha Mishra,prof..isha.mishra65@gmail.com,97,96,76,59,80,,,24,104,101,40,1.5
824,Sandeep Verma,25G31B1248,sandeep.verma217@gmail.com,MECH,3,3-2,6,Prof. Ritika Malhotra,prof..ritika.malhotra69@gmail.com,76,80,52,73,54,,,11,117,102,63,1.2
825,Kumar Singh,25G31A9653,kumar.singh192@gmail.com,CIVIL,3,3-2,6,Prof. Kavya Pillai,prof..kavya.pillai58@gmail.com,76,80,78,69,79,,,17,119,64,57,2.7
826,Shreya Singh,25G31B7117,shreya.singh871@gmail.com,CSE(AI),3,3-1,5,Prof. Divya Srivastava,prof..divya.srivastava54@gmail.com,76,88,83,77,,,,28,86,57,64,5.2
827,Diya Das,25G31B9792,diya.das676@gmail.com,CSE,3,3-1,5,Dr. Sanjay Joshi,dr..sanjay.joshi58@gmail.com,64,78,68,60,,,,10,115,115,85,5.1
828,Priya Bhatnagar,25G31B3678,priya.bhatnagar987@gmail.com,CDS,3,3-1,5,Prof. Priya Sharma,prof..priya.sharma15@gmail.com,59,84,40,43,,,,30,89,48,52,5.5
829,Rahul Agarwal,25G31B6151,rahul.agarwal984@gmail.com,ECE,3,3-1,5,Prof. Anjali Menon,prof..anjali.menon37@gmail.com,90,59,75,79,,,,23,101,85,95,3.6
830,Celina Dasgupta,25G31A4712,celina.dasgupta313@gmail.com,EEE,3,3-2,6,Prof. Priya Sharma,prof..priya.sharma21@gmail.com,51,42,62,78,61,,,12,83,66,44,1.1
831,Kriti Sharma,25G31A3763,kriti.sharma758@gmail.com,MECH,3,3-1,5,Prof. Meera Desai,prof..meera.desai93@gmail.com,78,75,60,74,,,,12,104,91,77,4.3
832,Sanjay Menon,25G31B2600,sanjay.menon608@gmail.com,CIVIL,3,3-2,6,Dr. Suresh Iyer,dr..suresh.iyer13@gmail.com,77,56,84,79,72,,,15,83,71,87,2.7
833,Aditya Chatterjee,25G31B3538,aditya.chatterjee721@gmail.com,CSE(AI),3,3-1,5,Prof. Priya Sharma,prof..priya.sharma38@gmail.com,59,83,66,60,,,,28,119,115,40,9.4
834,Isha Joshi,25G31A1362,isha.joshi556@gmail.com,CSE,3,3-1,5,Dr. Suresh Iyer,dr..suresh.iyer20@gmail.com,69,94,61,92,,,,29,83,39,59,5.5
835,Diya Bhatnagar,25G31B4968,diya.bhatnagar778@gmail.com,CDS,3,3-2,6,Dr. Vikram Reddy,dr..vikram.reddy16@gmail.com,84,83,67,99,53,,,29,104,69,68,4.3
836,Divya Mishra,25G31B1998,divya.mishra970@gmail.com,ECE,3,3-1,5,Dr. Suresh Iyer,dr..suresh.iyer19@gmail.com,57,73,64,69,,,,26,97,91,87,6.8
837,Ritika Bhatnagar,25G31B2958,ritika.bhatnagar798@gmail.com,EEE,3,3-2,6,Prof. Isha Mishra,prof..isha.mishra56@gmail.com,63,63,49,89,81,,,12,106,92,93,3.5
838,Aisha Rao,25G31A8647,aisha.rao263@gmail.com,MECH,3,3-2,6,Dr. Nitin Verma,dr..nitin.verma14@gmail.com,58,66,99,62,90,,,16,87,48,68,7.1
839,Isha Mishra,25G31A7073,isha.mishra708@gmail.com,CIVIL,3,3-2,6,Dr. Rohan Kapoor,dr..rohan.kapoor78@gmail.com,78,61,71,81,71,,,11,88,78,46,3.3
840,Esha Sharma,25G31B8767,esha.sharma631@gmail.com,CSE(AI),3,3-2,6,Prof. Isha Mishra,prof..isha.mishra54@gmail.com,97,88,84,73,66,,,20,109,82,55,6.3
841,Divya Kumar,25G31B3866,divya.kumar466@gmail.com,CSE,3,3-1,5,Dr. Vikram Reddy,dr..vikram.reddy85@gmail.com,87,49,42,64,,,,19,97,52,65,9.6
842,Nisha Singh,25G31A1072,nisha.singh346@gmail.com,CDS,3,3-2,6,Dr. Nitin Verma,dr..nitin.verma71@gmail.com,76,62,98,79,67,,,10,97,47,94,4.0
843,Aisha Rao,25G31A2574,aisha.rao700@gmail.com,ECE,3,3-2,6,Dr. Rajesh Kumar,dr..rajesh.kumar61@gmail.com,74,60,60,61,82,,,23,120,96,50,4.6
844,Ananya Das,25G31A6353,ananya.das226@gmail.com,EEE,3,3-2,6,Prof. Kavya Pillai,prof..kavya.pillai51@gmail.com,80,84,81,85,60,,,19,107,71,57,5.9
845,Vinod Reddy,25G31B1211,vinod.reddy386@gmail.com,MECH,3,3-2,6,Prof. Meera Desai,prof..meera.desai67@gmail.com,59,82,100,67,57,,,14,110,98,92,6.7
846,Rajesh Kapoor,25G31B3025,rajesh.kapoor402@gmail.com,CIVIL,3,3-2,6,Dr. Sanjay Joshi,dr..sanjay.joshi78@gmail.com,73,47,54,72,74,,,21,119,51,78,9.5
847,Aditya Verma,25G31A6906,aditya.verma621@gmail.com,CSE(AI),3,3-1,5,Dr. Harish Rao,dr..harish.rao87@gmail.com,83,71,62,85,,,,28,117,83,58,7.9
848,Sanjay Verma,25G31A9365,sanjay.verma652@gmail.com,CSE,3,3-2,6,Prof. Shreya Nair,prof..shreya.nair46@gmail.com,67,80,67,47,57,,,28,109,107,75,5.2
849,Nikhil Srivastava,25G31A1432,nikhil.srivastava414@gmail.com,CDS,3,3-1,5,Prof. Isha Mishra,prof..isha.mishra29@gmail.com,78,81,77,85,,,,23,85,77,82,1.5
850,Rajesh Sharma,25G31A4513,rajesh.sharma723@gmail.com,ECE,3,3-1,5,Dr. Suresh Iyer,dr..suresh.iyer64@gmail.com,68,45,85,62,,,,10,89,72,45,2.9
851,Swati Sinha,25G31A9057,swati.sinha884@gmail.com,EEE,3,3-2,6,Prof. Kavya Pillai,prof..kavya.pillai16@gmail.com,41,52,81,75,81,,,25,108,108,81,1.8
852,Aryan Singh,25G31A2462,aryan.singh222@gmail.com,MECH,3,3-1,5,Prof. Anjali Menon,prof..anjali.menon73@gmail.com,66,41,72,79,,,,23,99,52,48,3.8
853,Zara Bhatnagar,25G31A1907,zara.bhatnagar634@gmail.com,CIVIL,3,3-2,6,Dr. Vikram Reddy,dr..vikram.reddy65@gmail.com,76,51,82,78,60,,,23,88,73,70,6.4
854,Ananya Singh,25G31A7611,ananya.singh180@gmail.com,CSE(AI),3,3-2,6,Dr. Rohan Kapoor,dr..rohan.kapoor84@gmail.com,81,81,67,53,84,,,15,116,116,94,9.2
855,Kriti Dasgupta,25G31A6979,kriti.dasgupta802@gmail.com,CSE,3,3-1,5,Dr. Rajesh Kumar,dr..rajesh.kumar93@gmail.com,89,44,77,65,,,,25,120,117,66,4.2
856,Vikram Dasgupta,25G31B5086,vikram.dasgupta126@gmail.com,CDS,3,3-1,5,Prof. Ritika Malhotra,prof..ritika.malhotra87@gmail.com,75,73,88,52,,,,16,99,68,68,2.6
857,Pari Rao,25G31B5238,pari.rao460@gmail.com,ECE,3,3-1,5,Dr. Rohan Kapoor,dr..rohan.kapoor52@gmail.com,72,45,71,75,,,,14,105,98,76,3.2
858,Tanvi Patel,25G31B8417,tanvi.patel929@gmail.com,EEE,3,3-1,5,Dr. Sanjay Joshi,dr..sanjay.joshi17@gmail.com,85,83,92,43,,,,23,118,48,71,1.9
859,Sneha Pillai,25G31A8072,sneha.pillai850@gmail.com,MECH,3,3-1,5,Prof. Priya Sharma,prof..priya.sharma11@gmail.com,80,89,100,63,,,,29,119,84,76,2.8
860,Pari Verma,25G31A7168,pari.verma505@gmail.com,CIVIL,3,3-2,6,Dr. Sanjay Joshi,dr..sanjay.joshi95@gmail.com,81,50,71,81,75,,,16,91,82,47,9.2
861,Vivek Bhatnagar,25G31A6171,vivek.bhatnagar300@gmail.com,CSE(AI),3,3-2,6,Prof. Divya Srivastava,prof..divya.srivastava42@gmail.com,84,69,99,83,83,,,17,85,78,67,8.6
862,Arjun Pillai,25G31B8550,arjun.pillai521@gmail.com,CSE,3,3-1,5,Dr. Vikram Reddy,dr..vikram.reddy47@gmail.com,59,67,56,99,,,,10,120,93,50,1.8
863,Amit Bhat,25G31A5323,amit.bhat569@gmail.com,CDS,3,3-1,5,Prof. Meera Desai,prof..meera.desai49@gmail.com,71,56,75,73,,,,25,113,96,48,7.0
864,Nikhil Reddy,25G31A8278,nikhil.reddy518@gmail.com,ECE,3,3-2,6,Prof. Shreya Nair,prof..shreya.nair33@gmail.com,68,66,73,41,100,,,18,91,70,68,9.6
865,Zara Dasgupta,25G31B6510,zara.dasgupta158@gmail.com,EEE,3,3-1,5,Dr. Suresh Iyer,dr..suresh.iyer50@gmail.com,76,51,90,76,,,,20,101,57,40,5.0
866,Nisha Srivastava,25G31B3633,nisha.srivastava921@gmail.com,MECH,3,3-1,5,Dr. Suresh Iyer,dr..suresh.iyer18@gmail.com,96,65,83,79,,,,22,99,57,57,9.1
867,Nikhil Srivastava,25G31B6192,nikhil.srivastava658@gmail.com,CIVIL,3,3-2,6,Prof. Divya Srivastava,prof..divya.srivastava29@gmail.com,68,89,61,78,74,,,29,106,84,43,3.9
868,Amit Bhatnagar,25G31B9842,amit.bhatnagar244@gmail.com,CSE(AI),3,3-1,5,Dr. Rajesh Kumar,dr..rajesh.kumar31@gmail.com,43,80,88,86,,,,16,114,102,58,7.8
869,Pooja Bajaj,25G31A5434,pooja.bajaj758@gmail.com,CSE,3,3-1,5,Dr. Sanjay Joshi,dr..sanjay.joshi45@gmail.com,64,68,85,94,,,,23,113,92,87,4.2
870,Priya Kapoor,25G31A1270,priya.kapoor435@gmail.com,CDS,3,3-1,5,Dr. Sanjay Joshi,dr..sanjay.joshi56@gmail.com,64,78,78,64,,,,23,82,70,40,4.1
871,Aisha Dasgupta,25G31B5565,aisha.dasgupta290@gmail.com,ECE,3,3-2,6,Dr. Rajesh Kumar,dr..rajesh.kumar78@gmail.com,56,58,69,59,75,,,18,114,89,57,4.5
872,Priya Saxena,25G31A3604,priya.saxena130@gmail.com,EEE,3,3-1,5,Dr. Suresh Iyer,dr..suresh.iyer23@gmail.com,80,48,84,57,,,,29,117,85,84,7.6
873,Aarav Bhat,25G31B8590,aarav.bhat621@gmail.com,MECH,3,3-2,6,Dr. Sanjay Joshi,dr..sanjay.joshi63@gmail.com,51,52,80,64,88,,,15,97,93,62,7.2
874,Esha Gupta,25G31B6089,esha.gupta678@gmail.com,CIVIL,3,3-1,5,Prof. Kavya Pillai,prof..kavya.pillai18@gmail.com,78,48,49,52,,,,29,83,81,86,3.2
875,Sakshi Das,25G31A2408,sakshi.das404@gmail.com,CSE(AI),3,3-1,5,Prof. Priya Sharma,prof..priya.sharma25@gmail.com,63,72,78,80,,,,11,118,90,94,3.4
876,Karthik Srivastava,25G31B4893,karthik.srivastava934@gmail.com,CSE,3,3-1,5,Dr. Vikram Reddy,dr..vikram.reddy23@gmail.com,66,84,84,83,,,,16,85,71,94,9.2
877,Ritika Bajaj,25G31A2222,ritika.bajaj506@gmail.com,CDS,3,3-2,6,Dr. Suresh Iyer,dr..suresh.iyer34@gmail.com,98,66,76,62,90,,,26,112,83,88,8.9
878,Harsha Nair,25G31A2507,harsha.nair613@gmail.com,ECE,3,3-2,6,Prof. Divya Srivastava,prof..divya.srivastava12@gmail.com,74,52,80,68,82,,,29,110,60,90,8.2
879,Ravi Malhotra,25G31B8316,ravi.malhotra196@gmail.com,EEE,3,3-1,5,Prof. Divya Srivastava,prof..divya.srivastava61@gmail.com,58,40,65,74,,,,26,103,73,62,5.1
880,Varun Singh,25G31B1983,varun.singh548@gmail.com,MECH,3,3-1,5,Prof. Meera Desai,prof..meera.desai32@gmail.com,60,70,56,82,,,,28,94,67,87,3.4
881,Aryan Reddy,25G31A5869,aryan.reddy735@gmail.com,CIVIL,3,3-2,6,Dr. Rohan Kapoor,dr..rohan.kapoor31@gmail.com,77,79,61,52,96,,,10,83,66,82,1.7
882,Priya Pillai,25G31A6924,priya.pillai764@gmail.com,CSE(AI),3,3-2,6,Prof. Anjali Menon,prof..anjali.menon87@gmail.com,68,93,78,75,71,,,10,113,98,71,9.6
883,Diya Chatterjee,25G31B5408,diya.chatterjee560@gmail.com,CSE,3,3-2,6,Prof. Isha Mishra,prof..isha.mishra97@gmail.com,60,100,62,71,65,,,11,84,62,58,9.7
884,Isha Kapoor,25G31B9034,isha.kapoor845@gmail.com,CDS,3,3-2,6,Prof. Isha Mishra,prof..isha.mishra64@gmail.com,53,93,83,81,73,,,27,99,97,64,7.0
885,Ananya Menon,25G31A8169,ananya.menon898@gmail.com,ECE,3,3-1,5,Dr. Rajesh Kumar,dr..rajesh.kumar81@gmail.com,64,69,85,67,,,,26,98,39,64,5.4
886,Harish Desai,25G31A2496,harish.desai650@gmail.com,EEE,3,3-2,6,Dr. Suresh Iyer,dr..suresh.iyer82@gmail.com,71,60,75,73,73,,,16,90,58,70,6.4
887,Rahul Bansal,25G31A1531,rahul.bansal412@gmail.com,MECH,3,3-2,6,Prof. Kavya Pillai,prof..kavya.pillai61@gmail.com,96,98,91,94,89,,,29,103,98,52,9.0
888,Vishal Das,25G31A7573,vishal.das742@gmail.com,CIVIL,3,3-1,5,Dr. Suresh Iyer,dr..suresh.iyer63@gmail.com,64,46,99,90,,,,29,95,70,56,4.8
889,Arjun Mishra,25G31A8921,arjun.mishra800@gmail.com,CSE(AI),3,3-1,5,Dr. Nitin Verma,dr..nitin.verma40@gmail.com,86,97,52,81,,,,22,95,81,65,5.1
890,Rajesh Chatterjee,25G31A5312,rajesh.chatterjee788@gmail.com,CSE,3,3-1,5,Dr. Sanjay Joshi,dr..sanjay.joshi20@gmail.com,51,93,80,69,,,,18,108,90,77,1.9
891,Maya Das,25G31A7706,maya.das412@gmail.com,CDS,3,3-1,5,Prof. Kavya Pillai,prof..kavya.pillai49@gmail.com,68,85,75,74,,,,27,94,68,70,1.0
892,Neha Singh,25G31B8110,neha.singh337@gmail.com,ECE,3,3-2,6,Prof. Anjali Menon,prof..anjali.menon42@gmail.com,74,67,72,77,70,,,13,120,96,82,9.4
893,Sneha Bansal,25G31A5336,sneha.bansal560@gmail.com,EEE,3,3-2,6,Dr. Suresh Iyer,dr..suresh.iyer72@gmail.com,46,45,69,45,86,,,27,120,57,94,8.6
894,Pari Malhotra,25G31A9413,pari.malhotra331@gmail.com,MECH,3,3-2,6,Dr. Rajesh Kumar,dr..rajesh.kumar31@gmail.com,72,82,64,91,83,,,19,93,73,59,8.8
895,Varun Sinha,25G31B3370,varun.sinha275@gmail.com,CIVIL,3,3-2,6,Prof. Kavya Pillai,prof..kavya.pillai65@gmail.com,61,81,75,67,61,,,10,104,54,87,8.6
896,Pooja Bhat,25G31B1234,pooja.bhat701@gmail.com,CSE(AI),3,3-2,6,Dr. Suresh Iyer,dr..suresh.iyer52@gmail.com,99,77,76,69,84,,,20,96,64,63,6.6
897,Kriti Iyer,25G31A4198,kriti.iyer683@gmail.com,CSE,3,3-1,5,Prof. Meera Desai,prof..meera.desai62@gmail.com,80,59,73,68,,,,22,85,83,76,3.6
898,Maya Verma,25G31B6719,maya.verma681@gmail.com,CDS,3,3-1,5,Prof. Anjali Menon,prof..anjali.menon99@gmail.com,72,96,72,53,,,,20,104,98,60,7.6
899,Rahul Chatterjee,25G31B4373,rahul.chatterjee201@gmail.com,ECE,3,3-1,5,Dr. Suresh Iyer,dr..suresh.iyer99@gmail.com,40,66,57,52,,,,11,105,58,75,1.4
900,Deepak Bajaj,25G31A9568,deepak.bajaj937@gmail.com,EEE,3,3-1,5,Dr. Rajesh Kumar,dr..rajesh.kumar57@gmail.com,64,74,65,60,,,,21,116,53,72,9.9
901,Esha Gupta,25G31A3310,esha.gupta649@gmail.com,MECH,3,3-2,6,Dr. Sanjay Joshi,dr..sanjay.joshi31@gmail.com,90,58,71,62,71,,,14,118,95,76,5.5
902,Nikhil Bhat,25G31A8769,nikhil.bhat764@gmail.com,CIVIL,3,3-2,6,Prof. Shreya Nair,prof..shreya.nair73@gmail.com,78,87,74,84,40,,,18,109,92,77,9.3
903,Deepak Patel,25G31A2938,deepak.patel407@gmail.com,CSE(AI),3,3-2,6,Dr. Sanjay Joshi,dr..sanjay.joshi42@gmail.com,45,78,92,61,73,,,15,82,69,74,8.9
904,Amit Chopra,25G31B9755,amit.chopra637@gmail.com,CSE,3,3-1,5,Prof. Meera Desai,prof..meera.desai92@gmail.com,64,96,80,81,,,,16,108,44,55,6.1
905,Anjali Bhat,25G31A3890,anjali.bhat505@gmail.com,CDS,3,3-1,5,Prof. Shreya Nair,prof..shreya.nair29@gmail.com,82,62,41,92,,,,17,116,90,83,4.0
906,Pooja Desai,25G31A2278,pooja.desai876@gmail.com,ECE,3,3-1,5,Dr. Nitin Verma,dr..nitin.verma78@gmail.com,49,92,50,60,,,,28,93,61,41,8.5
907,Vinod Bajaj,25G31B7318,vinod.bajaj117@gmail.com,EEE,3,3-2,6,Dr. Harish Rao,dr..harish.rao42@gmail.com,66,82,59,56,47,,,27,95,64,86,3.9
908,Aarav Kapoor,25G31A8357,aarav.kapoor297@gmail.com,MECH,3,3-2,6,Dr. Harish Rao,dr..harish.rao94@gmail.com,98,59,57,69,85,,,15,103,103,47,2.6
909,Sandeep Patel,25G31A1160,sandeep.patel393@gmail.com,CIVIL,3,3-1,5,Prof. Shreya Nair,prof..shreya.nair14@gmail.com,83,89,51,74,,,,22,120,89,57,6.3
910,Celina Kapoor,25G31A9997,celina.kapoor366@gmail.com,CSE(AI),3,3-2,6,Dr. Harish Rao,dr..harish.rao84@gmail.com,64,42,99,94,63,,,19,117,113,89,7.0
911,Kavya Dutta,25G31A9402,kavya.dutta928@gmail.com,CSE,3,3-1,5,Dr. Rajesh Kumar,dr..rajesh.kumar11@gmail.com,51,56,52,42,,,,19,103,75,44,4.6
912,Nisha Menon,25G31B8597,nisha.menon490@gmail.com,CDS,3,3-1,5,Prof. Divya Srivastava,prof..divya.srivastava13@gmail.com,72,80,71,63,,,,22,95,57,73,2.1
913,Ananya Menon,25G31B7884,ananya.menon609@gmail.com,ECE,3,3-1,5,Dr. Vikram Reddy,dr..vikram.reddy67@gmail.com,99,73,44,62,,,,24,84,77,71,3.1
914,Tanvi Iyer,25G31A4343,tanvi.iyer487@gmail.com,EEE,3,3-2,6,Dr. Nitin Verma,dr..nitin.verma30@gmail.com,64,92,73,70,80,,,29,113,111,77,6.4
915,Mohan Chopra,25G31B5162,mohan.chopra896@gmail.com,MECH,3,3-1,5,Prof. Ritika Malhotra,prof..ritika.malhotra40@gmail.com,72,56,88,74,,,,14,113,99,88,8.1
916,Ajay Agarwal,25G31B4473,ajay.agarwal737@gmail.com,CIVIL,3,3-2,6,Dr. Suresh Iyer,dr..suresh.iyer73@gmail.com,67,97,76,80,80,,,27,100,90,81,9.2
917,Arjun Reddy,25G31B1019,arjun.reddy214@gmail.com,CSE(AI),3,3-2,6,Dr. Nitin Verma,dr..nitin.verma89@gmail.com,64,78,62,75,93,,,30,94,84,45,1.4
918,Karthik Bhatnagar,25G31A3641,karthik.bhatnagar739@gmail.com,CSE,3,3-2,6,Dr. Suresh Iyer,dr..suresh.iyer48@gmail.com,84,62,90,76,58,,,20,107,87,46,2.0
919,Rajesh Saxena,25G31A5816,rajesh.saxena139@gmail.com,CDS,3,3-2,6,Prof. Shreya Nair,prof..shreya.nair44@gmail.com,74,68,81,64,67,,,10,111,99,71,8.4
920,Bhavna Chopra,25G31B5764,bhavna.chopra864@gmail.com,ECE,3,3-2,6,Prof. Ritika Malhotra,prof..ritika.malhotra58@gmail.com,61,83,75,77,72,,,15,104,42,89,3.4
921,Nisha Bajaj,26G31A1131,nisha.bajaj801@gmail.com,EEE,4,4-2,8,Dr. Rajesh Kumar,dr..rajesh.kumar91@gmail.com,76,78,90,42,75,85,,29,86,73,92,3.8
922,Divya Mishra,26G31A6680,divya.mishra526@gmail.com,MECH,4,4-1,7,Dr. Nitin Verma,dr..nitin.verma57@gmail.com,61,70,95,66,81,,,23,99,84,73,8.4
923,Harsha Desai,26G31B5774,harsha.desai639@gmail.com,CIVIL,4,4-2,8,Dr. Rohan Kapoor,dr..rohan.kapoor87@gmail.com,63,92,91,49,82,79,,20,88,62,86,7.6
924,Vikram Chatterjee,26G31A5723,vikram.chatterjee768@gmail.com,CSE(AI),4,4-1,7,Prof. Shreya Nair,prof..shreya.nair93@gmail.com,77,82,72,99,100,,,28,89,87,52,7.2
925,Sneha Kumar,26G31B3355,sneha.kumar733@gmail.com,CSE,4,4-1,7,Prof. Divya Srivastava,prof..divya.srivastava50@gmail.com,74,80,72,83,97,,,22,83,72,75,4.0
926,Ritika Chatterjee,26G31B8499,ritika.chatterjee662@gmail.com,CDS,4,4-2,8,Prof. Priya Sharma,prof..priya.sharma37@gmail.com,80,86,61,93,71,62,,11,94,63,50,5.9
927,Swati Sharma,26G31B4164,swati.sharma362@gmail.com,ECE,4,4-2,8,Dr. Anil Singh,dr..anil.singh28@gmail.com,57,61,85,78,83,82,,10,99,46,60,8.3
928,Avni Dutta,26G31A2483,avni.dutta469@gmail.com,EEE,4,4-2,8,Prof. Meera Desai,prof..meera.desai71@gmail.com,91,48,74,61,59,81,,13,118,104,63,5.2
929,Deepak Malhotra,26G31A8934,deepak.malhotra215@gmail.com,MECH,4,4-2,8,Prof. Divya Srivastava,prof..divya.srivastava63@gmail.com,67,78,72,75,55,58,,12,120,107,44,7.6
930,Amit Dasgupta,26G31B5582,amit.dasgupta696@gmail.com,CIVIL,4,4-1,7,Dr. Vikram Reddy,dr..vikram.reddy62@gmail.com,81,58,86,53,97,,,15,95,86,41,9.6
931,Vinod Saxena,26G31A4847,vinod.saxena633@gmail.com,CSE(AI),4,4-2,8,Prof. Isha Mishra,prof..isha.mishra71@gmail.com,81,82,47,77,65,47,,27,95,48,82,6.5
932,Swati Saxena,26G31A4045,swati.saxena533@gmail.com,CSE,4,4-2,8,Dr. Rajesh Kumar,dr..rajesh.kumar19@gmail.com,81,50,45,79,83,81,,30,117,110,58,3.7
933,Arjun Desai,26G31A5447,arjun.desai766@gmail.com,CDS,4,4-1,7,Prof. Anjali Menon,prof..anjali.menon48@gmail.com,55,100,45,56,56,,,24,116,115,56,5.2
934,Nisha Chatterjee,26G31A1510,nisha.chatterjee933@gmail.com,ECE,4,4-2,8,Prof. Priya Sharma,prof..priya.sharma76@gmail.com,80,60,73,96,53,41,,15,99,49,92,8.5
935,Avni Bhatnagar,26G31B4636,avni.bhatnagar409@gmail.com,EEE,4,4-2,8,Prof. Meera Desai,prof..meera.desai18@gmail.com,74,40,93,83,86,78,,30,88,85,93,6.1
936,Kriti Desai,26G31A6303,kriti.desai737@gmail.com,MECH,4,4-1,7,Dr. Vikram Reddy,dr..vikram.reddy32@gmail.com,49,60,72,46,58,,,22,84,73,72,9.5
937,Arjun Dutta,26G31A6582,arjun.dutta815@gmail.com,CIVIL,4,4-1,7,Prof. Kavya Pillai,prof..kavya.pillai25@gmail.com,64,56,78,87,66,,,21,92,78,83,7.9
938,Aryan Joshi,26G31B8913,aryan.joshi516@gmail.com,CSE(AI),4,4-1,7,Prof. Anjali Menon,prof..anjali.menon41@gmail.com,95,61,65,51,69,,,18,120,113,68,5.8
939,Ashok Bajaj,26G31A4583,ashok.bajaj173@gmail.com,CSE,4,4-1,7,Prof. Meera Desai,prof..meera.desai45@gmail.com,80,57,47,49,80,,,17,90,68,72,7.7
940,Nikhil Mishra,26G31B7890,nikhil.mishra600@gmail.com,CDS,4,4-2,8,Prof. Isha Mishra,prof..isha.mishra52@gmail.com,81,77,80,78,75,69,,20,103,67,92,3.7
941,Rahul Saxena,26G31A5725,rahul.saxena772@gmail.com,ECE,4,4-1,7,Prof. Ritika Malhotra,prof..ritika.malhotra19@gmail.com,73,73,72,73,74,,,18,111,76,77,9.5
